Application: Tecan i-control;;;;Tecan i-control , 1.10.4.0;;;;;;;
Device: infinite 200Pro;;;;Serial number: 1308001874;;;;Serial number of connected stacker:;;;
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47);;;;;;;
;;;;;;;;;;;
Date:;23/10/2013;;;;;;;;;;
Time:;09:58:26;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
System;;;;TECAN-PC;;;;;;;
User;;;;tecan-PC\tecan;;;;;;;
Plate;;;;Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx];;;;;;;
Plate-ID (Stacker);;;;;;;;;;;
;;;;;;;;;;;
List of actions in this measurement script:;;;;;;;;;;;
Kinetic;;;;;;;;;;;
Absorbance;;;;;;;;;;;
Fluorescence;;;;;;;;;;;
;;;;;;;;;;;
2 Labels;;;;;;;;;;;
Kinetic Measurement;;;;;;;;;;;
Kinetic Cycles;;;;5;;;;;;;
Interval Time;;;;Minimal;;;;;;;
Mode;;;;Absorbance;;;;;;;
A12;20926;20928;20576;20589;20605;;;;;;
Time [ms];3915;108715;213515;318329;423112;;;;;;
B1;22021;21834;21695;21547;21431;;;;;;
Time [ms];8303;113117;217917;322719;427513;;;;;;
B2;18020;17804;17637;17524;17534;;;;;;
Time [ms];7947;112761;217561;322363;427157;;;;;;
B3;18577;18335;18368;18237;18303;;;;;;
Time [ms];7592;112405;217205;322007;426801;;;;;;
B4;18089;17931;17764;17825;17645;;;;;;
Time [ms];7236;112049;216849;321651;426445;;;;;;
B5;18165;18003;17894;17803;17606;;;;;;
Time [ms];6880;111693;216493;321295;426090;;;;;;
B6;18064;17854;17750;17897;17865;;;;;;
Time [ms];6524;111337;216137;320939;425734;;;;;;
B7;17979;17851;17879;17874;17806;;;;;;
Time [ms];6168;110981;215782;320583;425378;;;;;;
B8;19388;19248;19074;19000;18975;;;;;;
Time [ms];5812;110625;215426;320227;425022;;;;;;
B9;18851;18625;18500;18486;18323;;;;;;
Time [ms];5456;110270;215070;319872;424666;;;;;;
B10;19331;19065;18965;19002;18892;;;;;;
Time [ms];5100;109914;214714;319516;424310;;;;;;
B11;18604;18314;18286;18258;18180;;;;;;
Time [ms];4744;109558;214358;319160;423954;;;;;;
B12;19043;18687;18705;18676;18493;;;;;;
Time [ms];4389;109202;214002;318804;423598;;;;;;
C1;17762;17508;17550;17459;17360;;;;;;
Time [ms];8779;113591;218392;323193;427986;;;;;;
C2;18414;18180;18027;17892;18058;;;;;;
Time [ms];9135;113947;218748;323549;428342;;;;;;
C3;17588;17435;17276;17353;17221;;;;;;
Time [ms];9491;114303;219104;323905;428698;;;;;;
C4;18654;18497;18467;18366;18251;;;;;;
Time [ms];9846;114659;219460;324261;429053;;;;;;
C5;19330;19173;19152;18888;18953;;;;;;
Time [ms];10202;115015;219816;324617;429409;;;;;;
C6;17068;16988;16908;16809;16872;;;;;;
Time [ms];10558;115371;220172;324973;429765;;;;;;
C7;18698;18585;18362;18393;18407;;;;;;
Time [ms];10914;115727;220527;325329;430121;;;;;;
C8;18526;18467;18375;18257;18064;;;;;;
Time [ms];11270;116083;220883;325685;430477;;;;;;
C9;19407;19093;19174;18941;18844;;;;;;
Time [ms];11626;116438;221239;326041;430833;;;;;;
C10;18227;18199;18013;18053;17975;;;;;;
Time [ms];11982;116794;221595;326397;431189;;;;;;
C11;18694;18533;18412;18501;18382;;;;;;
Time [ms];12338;117150;221951;326752;431545;;;;;;
